Title,Authors_with_affiliations,Conf,Year,Cited_by
Information fusion based learning for frugal traffic state sensing,"Joshi, V., IBM India Research Labs, India; Rajamani, N., IBM India Research Labs, India; Takayuki, K., IBM Tokyo Research Labs, Japan; Prathapaneni, N., IBM India Research Labs, India; Subramaniam, L.V., IBM India Research Labs, India",IJCAI,2013,
Automated generation of interaction graphs for value-factored Dec-POMDPs,"Yeoh, W., New Mexico State University, Las Cruces, NM 88011, United States; Kumar, A., IBM Research, New Delhi, 110070, India; Zilberstein, S., University of Massachusetts, Amherst, MA 01003, United States",IJCAI,2013,
Link label prediction in signed social networks,"Agrawal, P., IBM Research Bangalore, India; Garg, V.K., IBM Research Bangalore, India; Narayanam, R., Toyota Technological Institute (TTI-C) Chicago, United States",IJCAI,2013,
Probabilistic reasoning with undefined properties in ontologically-based belief networks,"Kuo, C.-L., Department of Computer Science, University of British Columbia, Vancouver, Canada; Buchman, D., Department of Computer Science, University of British Columbia, Vancouver, Canada; Katiyar, A., Department of Computer Science and Engineering, Indian Institute of Technology, Kanpur, India; Poole, D., Department of Computer Science, University of British Columbia, Vancouver, Canada",IJCAI,2013,
Algorithms for generating ordered solutions for explicit AND/OR structures,"Ghosh, P., Department of Computer Science and Engineering, Indian Institute of Technology Kharagpur, WB-721302, India; Sharma, A., Department of Computer Science, Cornell University, Ithaca, NY 14850, United States; Chakrabarti, P.P., Department of Computer Science and Engineering, Indian Institute of Technology Kharagpur, WB-721302, India; Dasgupta, P., Department of Computer Science and Engineering, Indian Institute of Technology Kharagpur, WB-721302, India",IJCAI,2013,
Multi-perspective linking of news articles within a repository,"Khurdiya, A., Tata Consultancy Services, Innovation Labs., Delhi, India; Dey, L., Tata Consultancy Services, Innovation Labs., Delhi, India; Raj, N., Tata Consultancy Services, Innovation Labs., Delhi, India; Haque, Sk.M., Tata Consultancy Services, Innovation Labs., Delhi, India",IJCAI,2011,
Context-sensitive semantic smoothing using semantically relatable sequences,"Verma, K.S., Department of Computer Science, Indian Institute of Technology, Bombay, India; Bhattacharyya, P., Department of Computer Science, Indian Institute of Technology, Bombay, India",IJCAI,2009,
A flexible unsupervised PP-attachment method using semantic information,"Medimi, S., Deptt. of Computer Sc. and Engg, Indian Institute of Technology Bombay, Mumbai, 400076, India; Bhattacharyya, P., Deptt. of Computer Sc. and Engg, Indian Institute of Technology Bombay, Mumbai, 400076, India",IJCAI,2007,
Control of agent swarms using generalized centroidal cyclic pursuit laws,"Sinha, A., GCDSL, Department of Aerospace Engineering, Indian Institute of Science, Bangalore, India; Ghose, D., GCDSL, Department of Aerospace Engineering, Indian Institute of Science, Bangalore, India",IJCAI,2007,
Ontology based algorithms for indexing and search of semantically close natural language phrases,"Kamath, S., Department of Information Technology, National Institute of Technology, Surathkal, India",IJCAI,2007,
A three-stage neural model for attribute based classification and indexing of fly ashes,"Jayaram, M.A., Department of Master of Computer Applications, Siddaganga Institute of Technology, Tumkur, India; Nataraja, M.C., Department of Civil Engineering, Sri Jayachamarajendra College of Engineering, Mysore, India; Ravikumar, C.N., Department of Computer Scince and Engg, Sri Jayachamarajendra College of Engineering, Mysore, India",IJCAI,2007,
Mining conversational text for procedures,"Deepak, P., IBM India Research Lab, Bangalore, India; Kummamuru, K., IBM India Research Lab, Bangalore, India",IJCAI,2007,
Efficiently exploiting symmetries in real time dynamic programming,"Narayanamurthy, S.M., Department of Computer Science and Engineering, Indian Institute of Technology, Madras, India; Ravindran, B., Department of Computer Science and Engineering, Indian Institute of Technology, Madras, India",IJCAI,2007,
Hidden Markov model based identification of transliterated regional language words in text documents,"Sankar Nair, A., Centre for Bioinformatics, University of Kerala, Thiruvananthapuram, Kerala, India; Nair, V.V., Department of Electronics and Communications, College of Engineering Thrissur, Kerala, India; Chandra., V., Department of Computer Science, College of Engineering Thiruvananthapuram, Kerala, India",IJCAI,2007,
Optimal multi-sensor based multi target detection by moving sensors to the maximal clique in a covering graph,"Kumar, G.P., International Institute of Information Technology, Robotics Research Center, Gachibowli, Hyderabad, 500 032, India; Krishna, K.M., International Institute of Information Technology, Robotics Research Center, Gachibowli, Hyderabad, 500 032, India",IJCAI,2007,
Theory of alignment generators and applications to statistical machine translation,"Udupa, R.U., IBM India Research Laboratory, New Delhi, India; Maji, H.K., IBM India Research Laboratory, New Delhi, India",IJCAI,2005,
Fast kernels for string and tree matching,"Vishwanathan, S.V.N., Dept. of Comp. Sci. and Automation, Indian Institute of Science, Bangalore, 560012, India; Smola, A.J., Machine Learning Group, RSISE, Australian National University, Canberra, ACT 0200, Australia",NIPS,2003,53
Semi-markov conditional random fields for information extraction,"Sarawagi, S., Indian Institute of Technology Bombay, India; Cohen, W.W., Center for Automated Learning and Discovery, Carnegie Mellon University, United States",NIPS,2005,45
An online algorithm for large scale image similarity learning,"Chechik, G., Google, Mountain View, CA, United States; Sharma, V., Google, Bengalooru, Karnataka, India; Shalit, U., ICNC, Hebrew University, Israel; Bengio, S., Google, Mountain View, CA, United States",NIPS,2009,13
On the algorithmics and applications of a mixed-norm based kernel learning formulation,"Nath, J.S., Dept. of Computer Science and Engg., Indian Institute of Technology, Bombay, India; Dinesh, G., Dept. of Computer Science and Automation, Indian Institute of Science, Bangalore, India; Raman, S., Dept. of Computer Science and Automation, Indian Institute of Science, Bangalore, India; Bhattacharyya, C., Dept. of Computer Science and Automation, Indian Institute of Science, Bangalore, India; Ben-Tal, A., Faculty of Industrial Engg. and Management, Technion, Haifa, Israel; Ramakrishnan, K.R., Dept. of Electrical Engg., Indian Institute of Science, Bangalore, India",NIPS,2009,12
Convergent temporal-difference learning with arbitrary smooth function approximation,"Maei, H.R., University of Alberta, Edmonton, AB, Canada; Szepesvari, C., University of Alberta, Edmonton, AB, Canada; Bhatnagar, S., Indian Institute of Science, Bangalore, India; Precup, D., McGill University, Montreal, QC, Canada; Silver, D., University of Alberta, Edmonton, AB, Canada; Sutton, R.S., University of Alberta, Edmonton, AB, Canada",NIPS,2009,10
Phase retrieval using alternating minimization,"Netrapalli, P., Department of ECE, University of Texas at Austin, Austin, TX 78712, United States; Jain, P., Microsoft Research India, Bangalore, India; Sanghavi, S., Department of ECE, University of Texas at Austin, Austin, TX 78712, United States",NIPS,2013,3
"Memory limited, streaming PCA","Mitliagkas, I., Dept. of Electrical and Computer Engineering, University of Texas at Austin, United States; Caramanis, C., Dept. of Electrical and Computer Engineering, University of Texas at Austin, United States; Jain, P., Microsoft Research, Bangalore, India",NIPS,2013,1
Convex calibrated surrogates for low-rank loss matrices with applications to subset ranking losses,"Ramaswamy, H.G., Computer Science and Automation, Indian Institute of Science, India; Agarwal, S., Computer Science and Automation, Indian Institute of Science, India; Tewari, A., Statistics and EECS, University of Michigan, United States",NIPS,2013,1
Supervised learning with similarity functions,"Kar, P., Indian Institute of Technology, Kanpur, India; Jain, P., Microsoft Research Lab., Bangalore, India",NIPS,2012,1
On the connections between saliency and tracking,"Mahadevan, V., Yahoo Labs, Bangalore, India; Vasconcelos, N., Statistical Visual Computing Laboratory, UC San Diego, San Diego, CA 92092, United States",NIPS,2012,1
FastEx: Hash clustering with exponential families,"Ahmed, A., Google, Mountain View, CA, United States; Ravi, S., Google, Mountain View, CA, United States; Narayanamurthy, S.M., Microsoft Research, Bangalore, India; Smola, A.J., Google, Mountain View, CA, United States",NIPS,2012,1
Guaranteed rank minimization via Singular Value Projection,"Jain, P., Microsoft Research Bangalore, Bangalore, India; Meka, R., UT Austin, Dept. of Computer Sciences, Austin, TX, United States; Dhillon, I., UT Austin, Dept. of Computer Sciences, Austin, TX, United States",NIPS,2010,1
A second order cone programming formulation for classifying missing data,"Bhattacharyya, C., Department of Computer Science and Automation, Indian Institute of Science Bangalore, 560 012, India; Pannagadatta, K.S., Department of Electrical Engineering Indian, Institute of Science Bangalore, 560 012, India; Smola, A.J., Machine Learning Program, National ICT Australia and ANU, Canberra, ACT 0200, Australia",NIPS,2005,1
"On the relationship between binary classification, bipartite ranking, and binary class probability estimation","Narasimhan, H., Department of Computer Science and Automation, Indian Institute of Science, Bangalore 560012, India; Agarwal, S., Department of Computer Science and Automation, Indian Institute of Science, Bangalore 560012, India",NIPS,2013,
On the representational efficiency of Restricted Boltzmann Machines,"Martens, J., Department of Computer Science, University of Toronto, Canada; Chattopadhyay, A., School of Technology and Computer Science, Tata Institute of Fundamental Research, India; Pitassi, T., Department of Computer Science, University of Toronto, Canada; Zemel, R., Department of Computer Science, University of Toronto, Canada",NIPS,2013,
Classification calibration dimension for general multiclass losses,"Ramaswamy, H.G., Department of Computer Science and Automation, Indian Institute of Science, Bangalore 560012, India; Agarwal, S., Department of Computer Science and Automation, Indian Institute of Science, Bangalore 560012, India",NIPS,2012,
Multilabel classification using Bayesian compressed sensing,"Kapoor, A., Microsoft Research, Redmond, United States; Jain, P., Microsoft Research, Bangalore, India; Viswanathan, R., Microsoft Research, Bangalore, India",NIPS,2012,
"The Lov‡sz v function, SVMs and finding large dense subgraphs","Jethava, V., Computer Science and Engineering Department, Chalmers University of Technology, 412 96, Goteborg, Sweden; Martinsson, A., Department of Mathematics, Chalmers University of Technology, 412 96, Goteborg, Sweden; Bhattacharyya, C., Department of CSA, Indian Institute of Science, Bangalore, 560012, India; Dubhashi, D., Computer Science and Engineering Department, Chalmers University of Technology, 412 96, Goteborg, Sweden",NIPS,2012,
Orthogonal matching pursuit with replacement,"Jain, P., Microsoft Research India, Bangalore, India; Tewari, A., University of Texas at Austin, Austin, TX, United States; Dhillon, I.S., University of Texas at Austin, Austin, TX, United States",NIPS,2011,
Similarity-based learning via data driven embeddings,"Kar, P., Indian Institute of Technology, Kanpur, India; Jain, P., Microsoft Research India, Bangalore, India",NIPS,2011,
Inductive regularized learning of kernel functions,"Jain, P., Microsoft Research Bangalore, Bangalore, India; Kulis, B., UC Berkeley, EECS, ICSI, Berkeley, CA, United States; Dhillon, I., UT Austin, Dept. of Computer Sciences, Austin, TX, United States",NIPS,2010,
Multiple Kernel Learning and the SMO algorithm,"Vishwanathan, S.V.N., Purdue University, United States; Sun, Z., Purdue University, United States; Theera-Ampornpunt, N., Purdue University, United States; Varma, M., Microsoft Research India, India",NIPS,2010,
MAP estimation in binary MRFs via Bipartite Multi-cuts,"Reddi, S.J., IIT Bombay, India, Google Inc., India; Sarawagi, S., IIT Bombay, India; Vishwanathan, S., IIT Bombay, India",NIPS,2010,
Hashing hyperplane queries to near points with applications to large-scale active learning,"Jain, P., Algorithms Research Group, Microsoft Research, Bangalore, India; Vijayanarasimhan, S., Department of Computer Science, University of Texas, Austin, United States; Grauman, K., Department of Computer Science, University of Texas, Austin, United States",NIPS,2010,
Word features for Latent Dirichlet Allocation,"Petterson, J., NICTA, ANU, Canberra, ACT, Australia; Smola, A., Yahoo Research, Santa Clara, CA, United States; Caetano, T., NICTA, ANU, Canberra, ACT, Australia; Buntine, W., NICTA, ANU, Canberra, ACT, Australia; Narayanamurthy, S., Yahoo Research, Bangalore, India",NIPS,2010,
Random Projection Trees revisited,"Dhesi, A., Department of Computer Science, Princeton University, Princeton, NJ, United States; Kar, P., Department of Computer Science and Engineering, Indian Institute of Technology, Kanpur, Uttar Pradesh, India",NIPS,2010,
Efficient algorithms for learning kernels from multiple similarity matrices with general convex loss functions,"Kundu, A., Dept. of Computer Science and Automation, Indian Institute of Science, Bangalore, India; Tankasali, V., Dept. of Computer Science and Automation, Indian Institute of Science, Bangalore, India; Bhattacharyya, C., Dept. of Computer Science and Automation, Indian Institute of Science, Bangalore, India; Ben-Tal, A., Faculty of Industrial Engg. and Management, Technion - Israel Institute of Technology, Haifa, Israel, CWI, Amsterdam, Netherlands",NIPS,2010,
Multi-step linear dyna-style planning,"Yao, H., Department of Computing Science, University of Alberta, Edmonton, AB T6G2E8, Canada; Bhatnagar, S., Department of Computer Science and Automation, Indian Institute of Science, Bangalore 560012, India; Diao, D., School of Economics and Management, South China Normal University, Guangzhou, 518055, China",NIPS,2009,
Kernels on attributed pointsets with applications,"Parsana, M., Dept. of Computer Science and Automation, Indian Institute of Science, Bangalore - 560012, India; Bhattacharya, S., Dept. of Computer Science and Automation, Indian Institute of Science, Bangalore - 560012, India; Bhattacharyya, C., Dept. of Computer Science and Automation, Indian Institute of Science, Bangalore - 560012, India; Ramakrishnan, K.R., Dept. of Electrical Engineering, Indian Institute of Science, Bangalore - 560012, India",NIPS,2009,
A randomized algorithm for large scale support vector learning,"Krishnan, S., Department of Computer Science and Automation, Indian Institute of Science, Bangalore-12, India; Bhattacharyya, C., Department of Computer Science and Automation, Indian Institute of Science, Bangalore-12, India; Hariharan, R., Strand Genomics, Bangalore-80, India",NIPS,2009,
Incremental natural actor-critic algorithms,"Bhatnagar, S., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India; Sutton, R.S., Department of Computing Science, University of Alberta, Edmonton, AB, Canada; Ghavamzadeh, M., Department of Computing Science, University of Alberta, Edmonton, AB, Canada; Lee, M., Department of Computing Science, University of Alberta, Edmonton, AB, Canada",NIPS,2009,
A New Gamut Mapping Method Dependent on Image Characteristics,"Bandyopadhyay, S., Printing Engineering Department, Jadavpur University, Kolkata, W.B., India; Paul, T., ABP Pvt. Ltd., Kolkata, W.B., India; Bandyopadhyay, S., Computer Sci. and Eng. Dept., Jadavpur University, Kolkata, W.B., India",NIPS,2003,
A variational mean-field theory for sigmoidal belief networks,"Bhattacharyya, C., Computer Science and Automation, Indian Institute of Science, Bangalore, 560012, India; Sathiya Keerthi, S., Mechanical and Production Engineering, National University of Singapore, Singapore",NIPS,2001,
Interactive deduplication using active learning,"Sarawagi, S., IIT Bombay, Bombay, India; Bhamidipaty, A., IIT Bombay, Bombay, India",SIGKDD,2002,140
Collective annotation of wikipedia entities in web text,"Kulkarni, S., IIT Bombay, India; Singh, A., IIT Bombay, India; Ramakrishnan, G., IIT Bombay, India; Chakrabarti, S., IIT Bombay, India",SIGKDD,2009,95
Exploiting dictionaries in named entity extraction: Combining semi-markov extraction processes and data integration methods,"Cohen, W.W., Ctr. for Automat. Lrng. and Discov., Carnegie Mellon University, Pittsburgh, PA 15213, United States; Sarawagi, S., IIT Bombay, Mumbai-400076, India",SIGKDD,2004,48
A fast algorithm for finding frequent episodes in event streams,"Laxman, S., Microsoft Research Labs India, Bangalore, India; Sastry, P.S., Indian Institute of Science, Bangalore, India; Unnikrishnan, K.P., General Motors R and D Center, Warren, United States",SIGKDD,2007,42
A sequential dual method for large scale multi-class linear svms,"Keerthi, S.S., Yahoo Research, Santa Clara, CA, United States; Sundararajan, S., Yahoo Labs., Bangalore, India; Chang, K.-W., Dept. of Computer Science, National Taiwan University, Taipei, 106, Taiwan; Hsieh, C.-J., Dept. of Computer Science, National Taiwan University, Taipei, 106, Taiwan; Lin, C.-J., Dept. of Computer Science, National Taiwan University, Taipei, 106, Taiwan",SIGKDD,2008,41
Discovering frequent patterns in sensitive data,"Bhaskar, R., Microsoft Research, Bangalore, India; Laxman, S., Microsoft Research, Bangalore, India; Smith, A., Pennsylvania State University, University Park, PA, United States; Thakurta, A., Pennsylvania State University, University Park, PA, United States",SIGKDD,2010,34
A bag of paths model for measuring structural similarity in Web documents,"Joshi, S., IBM India Research Lab, Indian Institute of Technology, Hauz Khas, New Delhi - 110 016, India; Agrawal, N., IBM India Research Lab, Indian Institute of Technology, Hauz Khas, New Delhi - 110 016, India; Krishnapuram, R., IBM India Research Lab, Indian Institute of Technology, Hauz Khas, New Delhi - 110 016, India; Negi, S., IBM India Research Lab, Indian Institute of Technology, Hauz Khas, New Delhi - 110 016, India",SIGKDD,2003,33
Structured learning for non-smooth ranking losses,"Chakrabarti, S., IIT Bombay, India; Khanna, R., IIT Bombay, India; Sawant, U., IIT Bombay, India; Bhattacharyya, C., IISc Bangalore, India",SIGKDD,2008,28
Learning to rank networked entities,"Agarwal, A., IIT Bombay, India; Chakrabarti, S., IIT Bombay, India; Aggarwal, S., IIT Bombay, India",SIGKDD,2006,23
Estimating rates of rare events with multiple hierarchies through scalable log-linear models,"Agarwal, D., Yahoo Research, Santa Clara, CA, United States; Agrawal, R., Yahoo Labs, Bengaluru, Karnataka, India; Khanna, R., Yahoo Labs, Bengaluru, Karnataka, India; Kota, N., Yahoo Labs, Bengaluru, Karnataka, India",SIGKDD,2010,19
Cross-training: Learning probabilistic mappings between topics,"Sarawagi, S., IIT Bombay, Bombay, India; Chakrabarti, S., IIT Bombay, Bombay, India; Godbole, S., IIT Bombay, Bombay, India",SIGKDD,2003,19
Stream prediction using a generative model based on frequent episodes in event sequences,"Laxman, S., Microsoft Research, Sadashivnagar Bangalore 560080, India; Tankasali, V., Microsoft Research, Sadashivnagar Bangalore 560080, India; White, R.W., Microsoft Research, One Microsoft Way, Redmond, WA 98052, United States",SIGKDD,2008,17
Designing crowdsourcing community for the enterprise,"Stewart, O., IBM Research, 1101 Kitchawan Road, Yorktown Heights, NY, United States; Huerta, J.M., IBM Research, 1101 Kitchawan Road, Yorktown Heights, NY, United States; Sader, M., IBM CHQ, Communications, 294 Route 100, Somers, NY, United States; Sakrajda, A., IBM Research, 1101 Kitchawan Road, Yorktown Heights, NY, United States; Marcotte, J., IBM GBS, India; Lubensky, D., IBM Research, 1101 Kitchawan Road, Yorktown Heights, NY, United States",SIGKDD,2009,16
Scaling multi-class support vector machines using inter-class confusion,"Godbole, S., IIT Bombay, Bombay, India; Sarawagi, S., IIT Bombay, Bombay, India; Chakrabarti, S., IIT Bombay, Bombay, India",SIGKDD,2002,15
Response prediction using collaborative filtering with hierarchies and side-information,"Menon, A.K., University of California, San Diego, CA, United States; Chitrapura, K.-P., Yahoo Labs, Bengaluru, Karnataka, India; Garg, S., Yahoo Labs, Bengaluru, Karnataka, India; Agarwal, D., Yahoo Research, Santa Clara, CA, United States; Kota, N., Yahoo Labs, Bengaluru, Karnataka, India",SIGKDD,2011,14
DUST: A generalized notion of similarity between uncertain time series,"Sarangi, S.R., IBM Research - India, Bangalore, India; Murthy, K., IBM Research - India, Bangalore, India",SIGKDD,2010,14
Entity disambiguation with hierarchical topic models,"Kataria, S.S., Pennsylvania State U., State College, PA, United States; Kumar, K.S., Yahoo Labs, Bangalore, India; Rastogi, R., Yahoo Labs, Bangalore, India; Sen, P., Yahoo Labs, Bangalore, India; Sengamedu, S.H., Yahoo Labs, Bangalore, India",SIGKDD,2011,12
A visual-analytic toolkit for dynamic interaction graphs,"Yang, X., Department of Computer Science, Ohio State University, Columbus, OH 43210, United States; Asur, S., Department of Computer Science, Ohio State University, Columbus, OH 43210, United States; Parthasarathy, S., Department of Computer Science, Ohio State University, Columbus, OH 43210, United States; Mehta, S., IBM India Research Lab., New Delhi 110070, India",SIGKDD,2008,11
"Text classification, business intelligence, and interactivity: Automating C-Sat analysis for services industry","Godbole, S., IBM Research, India Research Lab., New Delhi, India; Roy, S., IBM Research, India Research Lab., New Delhi, India",SIGKDD,2008,7
Structured entity identification and document categorization: Two tasks with one joint model,"Bhattacharya, I., IBM India Research Lab., New Delhi, India; Godbole, S., IBM India Research Lab., New Delhi, India; Joshi, S., IBM India Research Lab., New Delhi, India",SIGKDD,2008,7
Diversity in ranking via resistive graph centers,"Dubey, A., IBM Research, India; Chakrabarti, S., IIT Bombay, India; Bhattacharyya, C., IISc Bangalore, India",SIGKDD,2011,6
Clustering based large margin classification: A scalable approach using SOCP formulation,"Nath, J.S., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, Karnataka, India; Bhattacharyya, C., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, Karnataka, India; Murty, M.N., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, Karnataka, India",SIGKDD,2006,6
Learning spatially variant dissimilarity (SVaD) measures,"Kummamuru, K., IBM India Research Lab., IIT, Hauz Khas, Block 1, New Delhi 110016, India; Krishnapuram, R., IBM India Research Lab., IIT, Hauz Khas, Block 1, New Delhi 110016, India; Agrawal, R., IBM Almaden Research Center, San Jose, CA 95120, United States",SIGKDD,2004,6
Capacitated team formation problem on social networks,"Datta, S., Bell Labs., Bangalore, India; Majumder, A., Bell Labs., Bangalore, India; Naidu, K.V.M., Walmart Labs., Bangalore, India",SIGKDD,2012,5
Mining complex activities in the wild via a single smartphone accelerometer,"Rai, A., EPFL, Lausanne, Switzerland; Yan, Z., EPFL, Lausanne, Switzerland; Chakraborty, D., IBM Research, New Delhi, India; Wijaya, T.K., EPFL, Lausanne, Switzerland; Aberer, K., EPFL, Lausanne, Switzerland",SIGKDD,2012,4
SPF-GMKL: Generalized multiple kernel learning with a million kernels,"Jain, A., IIT Delhi, India; Vishwanathan, S.V.N., Purdue University, United States; Varma, M., Microsoft Research India, India",SIGKDD,2012,4
Web information extraction using Markov logic networks,"Satpal, S., Microsoft, Hyderabad, India; Bhadra, S., CSA, Indian Institute of Science, Bangalore, India; Sundararajan, S., Yahoo Labs, Bangalore, India; Rastogi, R., Yahoo Labs, Bangalore, India; Sen, P., Yahoo Labs, Bangalore, India",SIGKDD,2011,4
Heidi matrix: Nearest neighbor driven high dimensional data visualization,"Vadapalli, S., Centre for Data Engineering, IIT-Hyderabad, India; Karlapalem, K., Centre for Data Engineering, IIT-Hyderabad, India",SIGKDD,2009,4
Navigating Information Facets on Twitter (NIF-T),"Kumar, S., School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, United States; Morstatter, F., School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, United States; Marshall, G., School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, United States; Liu, H., School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, United States; Nambiar, U., IBM India Research Lab., New Delhi, India",SIGKDD,2012,3
Strategies for effective shilling attacks against recommender systems,"Ray, S., Indian Institute of Management Calcutta, Management Information Systems Group, Joka,700104 Kolkata, India; Mahanti, A., Indian Institute of Management Calcutta, Management Information Systems Group, Joka,700104 Kolkata, India",SIGKDD,2009,3
Identifying domain expertise of developers from source code,"Sindhgatta, R., IBM India Research Laboratory, Embassy Golf Links Park, Bangalore, India",SIGKDD,2008,3
A data mining approach to modeling relationships among categories in image collection,"Zhang, R., Department of Computer Science, SUNY at Binghamton, Binghamton, NY 13902, United States; Zhang, Z., Department of Computer Science, SUNY at Binghamton, Binghamton, NY 13902, United States; Khanzode, S., Polaris Software Lab, Mumbai 400 096 Maharashtra, India",SIGKDD,2004,3
SmartDispatch: Enabling efficient ticket dispatch in an IT service environment,"Agarwal, S., IBM Research, Bengaluru, India; Sindhgatta, R., IBM Research, Bengaluru, India; Sengupta, B., IBM Research, Bengaluru, India",SIGKDD,2012,2
Video analytics solution for tracking customer locations in retail shopping malls,"Rai, H.G.N., Infosys Labs, Infosys Technologies Limited, Bangalore, India; Jonna, K., Infosys Labs, Infosys Technologies Limited, Hyderabad, India; Krishna, P.R., Infosys Labs, Infosys Technologies Limited, Hyderabad, India",SIGKDD,2011,2
On the permanence of vertices in network communities,"Chakraborty, T., Dept. of Computer Science and Engg., Indian Institute of Technology, Kharagpur, 721302, India; Srinivasan, S., Dept. of Computer Science, University of Nebraska, Omaha, NE 68182, United States; Ganguly, N., Dept. of Computer Science and Engg., Indian Institute of Technology, Kharagpur, 721302, India; Mukherjee, A., Dept. of Computer Science and Engg., Indian Institute of Technology, Kharagpur, 721302, India; Bhowmick, S., Dept. of Computer Science, University of Nebraska, Omaha, NE 68182, United States",SIGKDD,2014,1
A system to grade computer programming skills using machine learning,"Srikant, S., Aspiring Minds, Gurgaon, India; Aggarwal, V., Aspiring Minds, Gurgaon, India",SIGKDD,2014,1
Better drilling through sensor analytics: A case study in Live Operational Intelligence,"Gupta, C., HP Labs, India; Viswanathan, K., HP Labs, India; Choudur, L., HP Labs, India; Hao, M., HP Labs, India; Dayal, U., HP Labs, India; Vennelakanti, R., HP Enterprise Business, India; Helm, P., HP Enterprise Business, India; Dev, A., HP Enterprise Business, India; Manjunath, S., HP Enterprise Business, India; Dhulipala, S., HP Enterprise Business, India; Bellad, S., HP Enterprise Business, India",SIGKDD,2011,1
An integrated system for automatic customer satisfaction analysis in the services industry,"Godbole, S., IBM Research, India Research Lab., New Delhi, India; Roy, S., IBM Research, India Research Lab., New Delhi, India",SIGKDD,2008,1
Active learning for sparse bayesian multilabel classification,"Vasisht, D., MIT, Cambridge, MA, United States; Damianou, A., University of Sheffield, Sheffield, United Kingdom; Varma, M., Microsoft Research, Bangalore, India; Kapoor, A., Microsoft Research, Redmond, WA, United States",SIGKDD,2014,
Predicting student risks through longitudinal analysis,"Tamhane, A., IBM Research India, Bangalore, India; Ikbal, S., IBM Research India, Bangalore, India; Sengupta, B., IBM Research India, Bangalore, India; Duggirala, M., Tata Research Development and Design Centre, Pune, India; Appleton, J., Gwinnett County Public Schools, Atlanta, GA, United States",SIGKDD,2014,
"Open-domain quantity queries on web tables: Annotation, response, and consensus models","Sarawagi, S., IIT Bombay, Mumbai, India; Chakrabarti, S., IIT Bombay, Mumbai, India",SIGKDD,2014,
"FastXML: A fast, accurate and stable tree-classifier for extreme multi-label learning","Prabhu, Y., Indian Institute of Technology - Delhi, New Delhi, India; Varma, M., Microsoft Research, Bengaluru, India",SIGKDD,2014,
A Bayesian framework for estimating properties of network diffusions,"Embar, V.R., IBM Research Division, IBM India Research Lab., Bangalore 560045, India; Pasumarthi, R.K., IBM Research Division, IBM India Research Lab., Bangalore 560045, India; Bhattacharya, I., IBM Research Division, IBM India Research Lab., Bangalore 560045, India",SIGKDD,2014,
Online debate summarization using topic directed sentiment analysis,"Ranade, S., International Institute of Information Technology, Hyderabad, India; Gupta, J., International Institute of Information Technology, Hyderabad, India; Varma, V., International Institute of Information Technology, Hyderabad, India; Mamidi, R., International Institute of Information Technology, Hyderabad, India",SIGKDD,2013,
Wally - Crowd powered image matching on tablets,"Pai, D., Advanced Technology Labs., Adobe, Bangalore, India; Davis, J., UC, Santa Cruz, CA, United States",SIGKDD,2012,
Source code identifier splitting using yahoo image and web search engine,"Sureka, A., Indraprastha Institute of Information Technology, Delhi IIIT-D, New Delhi, India",SIGKDD,2012,
Diversity in ranking using negative reinforcement,"Badrinath, R., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India; Veni Madhavan, C.E., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India",SIGKDD,2012,
Efficient space-time modeling for informative sensing,"Garg, S., Indraprastha Institute of Information Technology, Delhi, India; Singh, A., Indraprastha Institute of Information Technology, Delhi, India; Ramos, F., School of Information Technologies, University of Sydney, Sydney, Australia",SIGKDD,2012,
Intelligent advertising framework for digital signage,"Tian, P., Intel Corporation, Raycom InfoTech Park A, 2 Kexueyuan South Rd, Beijing 100190, China; Sanjay, A.V., Intel Corporation, 5000 W. Chandler Blvd, Chandler, AZ 85226, United States; Chiranjeevi, K., Intel Corporation, Thoobarahalli Village, Bangalore South Taluk Bangalore 560037, India; Malik, S.M., Intel Corporation, 15 Allstate Parkway, Markham, ON L3R 5B4, Canada",SIGKDD,2012,
Active sampling for entity matching,"Bellare, K., Yahoo Research, 701 First Ave, Sunnyvale, CA 94089, United States; Iyengar, S., Yahoo Labs., EGL Business Park, Bangalore, 560071, India; Parameswaran, A.G., Stanford University, 353 Serra Mall, Stanford, CA 94305, United States; Rastogi, V., Yahoo Research, 701 First Ave, Sunnyvale, CA 94089, United States",SIGKDD,2012,
Retrieval approach to extract opinions about people from resource scarce language news articles,"Mogadala, A., Search and Information Extraction Lab., IIIT-H, Hyderabad, India; Varma, V., Search and Information Extraction Lab., IIIT-H, Hyderabad, India",SIGKDD,2012,
Temporal multi-hierarchy smoothing for estimating rates of rare events,"Kota, N., Yahoo Labs, Bengaluru, Karnataka, India; Agarwal, D., Yahoo Research, Santa Clara, CA, United States",SIGKDD,2011,
