Title,Authors_with_affiliations,Conf,Year,Cited_by
"Social navigation through the Spoken Web: Improving audio access through collaborative filtering in Gujarat, India","Farrell, R., IBM Thomas J. Watson Research Center, Hawthorne, NY 10532, United States; Das, R., IBM Thomas J. Watson Research Center, Hawthorne, NY 10532, United States; Rajput, N., IBM India Research Lab., New Delhi, India",AAAI,2010,
Enabling selective automation of human decision-making using rules as preferences in a service-industry application,"Srivastava, B., IBM India Research, Laboratory New Delhi and Bangalore, India; YellamRaju, S., IBM India Research, Laboratory New Delhi and Bangalore, India",AAAI,2008,
How tacit knowledge guides action,"Gal, Y., MIT CSAIL, Harvard University SEAS, United States; Kasturirangan, R., National Institute of Advanced Studies, Bangalore, India, MIT CSAIL, United States; Pfeffer, A., Harvard University SEAS, United States; Richards, W., MIT CSAIL, United States",AAAI,2008,
Making BPEL flexible,"Feldkamp, D., University of Applied Sciences, School of Business, Switzerland; Singh, N., Indian Institute of Technology, Kanpur, India",AAAI,2008,
Online collective entity resolution,"Bhattacharya, I., IBM India Research Lab., New Delhi, India; Getoor, L., Computer Science Dept., University of Maryland, College Park, United States",AAAI,2007,
Plan analysis for enabling service oriented computing,"Srivastava, B., IBM India Research Laboratory, IIT Campus, Block 1, Hauz Khas, New Delhi 110016, India",AAAI,2006,
SEMAPLAN: Combining planning with semantic matching to achieve Web service composition,"Akkiraju, R., IBM T. J. Watson Research Center, 19 Skyline Drive, Hawthorne, NY 10532, United States; Srivastava, B., IBM India Research Laboratory, IIT Campus, Block 1, Hauz Khaus, New Delhi, 11016, India; Ivan, A.-A., IBM T. J. Watson Research Center, 19 Skyline Drive, Hawthorne, NY 10532, United States; Goodwin, R., IBM T. J. Watson Research Center, 19 Skyline Drive, Hawthorne, NY 10532, United States; Syeda-Mahmood, T., IBM Almaden Research Center, 650 Harry Road, San Jose, CA 95120, United States",AAAI,2006,
GuNQ - A Semantic Web engine with a keyword based query approach,"Bhatia, N., Indian Institute of Information Technology, Allahabad, India; Gaharwar, P., Indian Institute of Information Technology, Allahabad, India; Patnaik, P., Indian Institute of Information Technology, Allahabad, India",AAAI,2006,
Improving re-ranking of search results using collaborative filtering,"Uppuluri, R., Language Technologies Research Center, International Institute of Information Technology, Hyderabad, India; Ambati, V., Regional Mega Scanning Center, International Institute of Information Technology, Hyderabad, India",AAAI,2006,
Detecting laughter: Towards building a humorous machine,"Kamath, N., National Institute of Technology, Karnataka, India",AAAI,2006,
The synthy approach for end to end web services composition: Planning with decoupled causal and resource reasoning,"Srivastava, B., IBM India Research Laboratory, IIT, Block 1, New Delhi 110016, India",AAAI,2006,
SEMAPLAN: Combining planning with semantic matching to achieve web service composition,"Akkiraju, R., IBM T. J. Watson Research Center, 19 Skyline Drive, Hawthorne, NY 10532, United States; Srivastava, B., IBM India Research Laboratory, IIT Campus, Block 1, Hauz Khaus, New Delhi, 11016, India; Ivan, A.-A., IBM T. J. Watson Research Center, 19 Skyline Drive, Hawthorne, NY 10532, United States; Goodwin, R., IBM T. J. Watson Research Center, 19 Skyline Drive, Hawthorne, NY 10532, United States; Syeda-Mahmood, T., IBM Almaden Research Center, 650 Harry Road, San Jose, CA 95120, United States",AAAI,2006,
Building applications using end to end composition of web services,"Agarwal, V., IBM India Research Laboratory, IIT, Block 1, New Delhi 110016, India; Chafle, G., IBM India Research Laboratory, IIT, Block 1, New Delhi 110016, India; Dasgupta, K., IBM India Research Laboratory, IIT, Block 1, New Delhi 110016, India; Karnik, N., IBM India Research Laboratory, IIT, Block 1, New Delhi 110016, India; Kumar, A., IBM India Research Laboratory, IIT, Block 1, New Delhi 110016, India; Kundu, A., IBM India Research Laboratory, IIT, Block 1, New Delhi 110016, India; Mediratta, A., IBM India Research Laboratory, IIT, Block 1, New Delhi 110016, India; Mittal, S., IBM India Research Laboratory, IIT, Block 1, New Delhi 110016, India; Srivastava, B., IBM India Research Laboratory, IIT, Block 1, New Delhi 110016, India",AAAI,2005,
